LotArea,YearBuilt,YearRemodAdd,1stFlrSF,2ndFlrSF,FullBath,BedroomAbvGr,TotRmsAbvGrd
8450,2003,2003,856,854,2,3,8
9600,1976,1976,1262,0,2,3,6
11250,2001,2002,920,866,2,3,6
9550,1915,1970,961,756,1,3,7
14260,2000,2000,1145,1053,2,4,9
14115,1993,1995,796,566,1,1,5
10084,2004,2005,1694,0,2,3,7
10382,1973,1973,1107,983,2,3,7
6120,1931,1950,1022,752,2,2,8
7420,1939,1950,1077,0,1,2,5
11200,1965,1965,1040,0,1,3,5
11924,2005,2006,1182,1142,3,4,11
12968,1962,1962,912,0,1,2,4
10652,2006,2007,1494,0,2,3,7
10920,1960,1960,1253,0,1,2,5
6120,1929,2001,854,0,1,2,5
11241,1970,1970,1004,0,1,2,5
10791,1967,1967,1296,0,2,2,6
13695,2004,2004,1114,0,1,3,6
7560,1958,1965,1339,0,1,3,6
14215,2005,2006,1158,1218,3,4,9
7449,1930,1950,1108,0,1,3,6
9742,2002,2002,1795,0,2,3,7
4224,1976,1976,1060,0,1,3,6
8246,1968,2001,1060,0,1,3,6
14230,2007,2007,1600,0,2,3,7
7200,1951,2000,900,0,1,3,5
11478,2007,2008,1704,0,2,3,7
16321,1957,1997,1600,0,1,2,6
6324,1927,1950,520,0,1,1,4
8500,1920,1950,649,668,1,3,6
8544,1966,2006,1228,0,1,3,6
11049,2007,2007,1234,0,2,3,7
10552,1959,1959,1700,0,1,4,6
7313,2005,2005,1561,0,2,2,6
13418,2004,2005,1132,1320,3,4,9
10859,1994,1995,1097,0,1,3,6
8532,1954,1990,1297,0,1,3,5
7922,1953,2007,1057,0,1,3,5
6040,1955,1955,1152,0,2,2,6
8658,1965,1965,1324,0,2,3,6
16905,1959,1959,1328,0,1,2,5
9180,1983,1983,884,0,1,2,5
9200,1975,1980,938,0,1,3,5
7945,1959,1959,1150,0,1,3,6
7658,2005,2005,1752,0,2,2,6
12822,2003,2003,1518,631,1,1,6
11096,2006,2006,1656,0,2,3,7
